diff,category,count
-10,parenthetical_marker (breath/vocal-noise/research-comment letters),1
-9,underscore_truncation_or_gloss,1
-8,parenthetical_marker (breath/vocal-noise/research-comment letters),1
-8,underscore_truncation_or_gloss,1
-7,"cue_fusion (=^`!;%\ mid-word, tokeniser fuses, naive method splits)",1
-7,parenthetical_marker (breath/vocal-noise/research-comment letters),2
-6,"cue_fusion (=^`!;%\ mid-word, tokeniser fuses, naive method splits)",2
-6,"hyphen_only_run (-- / --- / isolated -, a Boundary, not a Word)",1
-6,parenthetical_marker (breath/vocal-noise/research-comment letters),7
-5,angle_tag,2
-5,"cue_fusion (=^`!;%\ mid-word, tokeniser fuses, naive method splits)",22
-5,"hyphen_only_run (-- / --- / isolated -, a Boundary, not a Word)",12
-5,numbered_overlap_bracket,5
-5,overlap_bracket,3
-5,parenthetical_marker (breath/vocal-noise/research-comment letters),22
-4,angle_tag,36
-4,"cue_fusion (=^`!;%\ mid-word, tokeniser fuses, naive method splits)",70
-4,"hyphen_only_run (-- / --- / isolated -, a Boundary, not a Word)",42
-4,numbered_overlap_bracket,16
-4,overlap_bracket,18
-4,parenthetical_marker (breath/vocal-noise/research-comment letters),64
-4,underscore_truncation_or_gloss,1
-3,angle_tag,14
-3,"cue_fusion (=^`!;%\ mid-word, tokeniser fuses, naive method splits)",248
-3,"hyphen_only_run (-- / --- / isolated -, a Boundary, not a Word)",271
-3,numbered_overlap_bracket,57
-3,overlap_bracket,47
-3,parenthetical_marker (breath/vocal-noise/research-comment letters),315
-3,underscore_truncation_or_gloss,1
-2,angle_tag,871
-2,at_sign_fusion (tier-1 drop mark mid-word or standalone laughter),1
-2,"cue_fusion (=^`!;%\ mid-word, tokeniser fuses, naive method splits)",964
-2,"hyphen_only_run (-- / --- / isolated -, a Boundary, not a Word)",809
-2,lost_initial_letter,1
-2,numbered_overlap_bracket,430
-2,overlap_bracket,420
-2,parenthetical_marker (breath/vocal-noise/research-comment letters),1160
-2,underscore_truncation_or_gloss,23
-1,angle_tag,614
-1,at_sign_fusion (tier-1 drop mark mid-word or standalone laughter),3
-1,"cue_fusion (=^`!;%\ mid-word, tokeniser fuses, naive method splits)",2115
-1,"hyphen_only_run (-- / --- / isolated -, a Boundary, not a Word)",3608
-1,lost_initial_letter,6
-1,numbered_overlap_bracket,1177
-1,other,1
-1,overlap_bracket,1302
-1,parenthetical_marker (breath/vocal-noise/research-comment letters),9603
-1,"plus_fusion (tier-1 drop mark mid-word, S8.1c)",2
-1,underscore_truncation_or_gloss,59
